Time,Exchange,ImbType,imbalance_quantity,paired_quantity,reference_price,clearing_price,closing_only_clearing_price,SSR_filling_price,condition_indicator,Bid,Ask
7/1/2026 9:03:56 AM,N,O,52555,13680,302.7,320,0,0,0,0,0
7/1/2026 9:03:57 AM,N,O,52530,13680,302.7,320,0,0,0,0,0
7/1/2026 9:03:58 AM,N,O,52620,13688,302.7,320,0,0,0,0,0
7/1/2026 9:03:59 AM,N,O,52623,13688,302.7,320,0,0,0,0,0
7/1/2026 9:04:02 AM,N,O,52723,13688,302.7,320,0,0,0,0,0
7/1/2026 9:04:05 AM,N,O,52718,13688,302.7,320,0,0,0,0,0
7/1/2026 9:04:10 AM,N,O,52618,13688,302.7,320,0,0,0,0,0
7/1/2026 9:04:15 AM,N,O,52623,13688,302.7,320,0,0,0,0,0
7/1/2026 9:04:16 AM,N,O,52543,13688,302.7,320,0,0,0,0,0
7/1/2026 9:04:21 AM,N,O,52537,13688,302.7,320,0,0,0,0,0
7/1/2026 9:04:22 AM,N,O,52557,13688,302.7,320,0,0,0,0,0
7/1/2026 9:04:23 AM,N,O,52563,13688,302.7,320,0,0,0,0,0
7/1/2026 9:04:30 AM,N,O,52623,13688,302.7,320,0,0,0,0,0
7/1/2026 9:04:35 AM,N,O,52673,13638,302.7,320,0,0,0,0,0
7/1/2026 9:04:36 AM,N,O,52745,13638,302.7,320,0,0,0,0,0
7/1/2026 9:04:38 AM,N,O,52993,13640,302.7,320,0,0,0,0,0
7/1/2026 9:04:39 AM,N,O,53003,13640,302.7,320,0,0,0,0,0
7/1/2026 9:04:40 AM,N,O,53012,13640,302.7,320,0,0,0,0,0
7/1/2026 9:04:42 AM,N,O,53061,13640,302.7,320,0,0,0,0,0
7/1/2026 9:04:45 AM,N,O,53161,13640,302.7,320,0,0,0,0,0
7/1/2026 9:04:47 AM,N,O,53167,13640,302.7,320,0,0,0,0,0
7/1/2026 9:04:50 AM,N,O,53166,13641,302.7,320,0,0,0,0,0
7/1/2026 9:04:56 AM,N,O,53094,13641,302.7,320,0,0,0,0,0
7/1/2026 9:05:00 AM,N,O,53119,13641,302.7,320,0,0,0,0,0
7/1/2026 9:05:01 AM,N,O,53411,13641,302.7,320,0,0,0,0,0
7/1/2026 9:05:06 AM,N,O,53412,13641,302.7,320,0,0,0,0,0
7/1/2026 9:05:17 AM,N,O,53408,13645,302.7,320,0,0,0,0,0
7/1/2026 9:05:26 AM,N,O,53407,13646,302.7,320,0,0,0,0,0
7/1/2026 9:05:27 AM,N,O,53404,13649,302.7,320,0,0,0,0,0
7/1/2026 9:05:29 AM,N,O,53409,13649,302.7,320,0,0,0,0,0
7/1/2026 9:05:30 AM,N,O,53419,13649,302.7,320,0,0,0,0,0
7/1/2026 9:05:31 AM,N,O,53220,13649,302.7,320,0,0,0,0,0
7/1/2026 9:05:32 AM,N,O,53219,13650,302.7,320,0,0,0,0,0
7/1/2026 9:05:33 AM,N,O,53192,13677,302.7,320,0,0,0,0,0
7/1/2026 9:05:34 AM,N,O,53187,13682,302.7,320,0,0,0,0,0
7/1/2026 9:05:35 AM,N,O,53188,13682,302.7,320,0,0,0,0,0
7/1/2026 9:05:36 AM,N,O,53204,13682,302.7,320,0,0,0,0,0
7/1/2026 9:05:37 AM,N,O,53212,13683,302.7,320,0,0,0,0,0
7/1/2026 9:05:39 AM,N,O,53231,13683,302.7,320,0,0,0,0,0
7/1/2026 9:05:40 AM,N,O,53258,13683,302.7,320,0,0,0,0,0
7/1/2026 9:05:43 AM,N,O,53257,13685,302.7,320,0,0,0,0,0
7/1/2026 9:05:44 AM,N,O,53395,13685,302.7,320,0,0,0,0,0
7/1/2026 9:05:45 AM,N,O,53396,13688,302.7,320,0,0,0,0,0
7/1/2026 9:05:47 AM,N,O,53494,13688,302.7,320,0,0,0,0,0
7/1/2026 9:05:48 AM,N,O,53501,13685,302.7,320,0,0,0,0,0
7/1/2026 9:05:56 AM,N,O,53601,13685,302.7,320,0,0,0,0,0
7/1/2026 9:05:59 AM,N,O,53602,13685,302.7,320,0,0,0,0,0
7/1/2026 9:06:00 AM,N,O,53603,13685,302.7,320,0,0,0,0,0
7/1/2026 9:06:01 AM,N,O,53599,13685,302.7,320,0,0,0,0,0
7/1/2026 9:06:08 AM,N,O,53610,13685,302.7,320,0,0,0,0,0
7/1/2026 9:06:11 AM,N,O,53590,13685,302.7,320,0,0,0,0,0
7/1/2026 9:06:19 AM,N,O,53600,13685,302.7,320,0,0,0,0,0
7/1/2026 9:06:25 AM,N,O,53601,13685,302.7,320,0,0,0,0,0
7/1/2026 9:06:27 AM,N,O,53612,13685,302.7,320,0,0,0,0,0
7/1/2026 9:06:33 AM,N,O,53662,13685,302.7,320,0,0,0,0,0
7/1/2026 9:06:34 AM,N,O,53702,13645,302.7,320,0,0,0,0,0
7/1/2026 9:06:36 AM,N,O,53773,13645,302.7,320,0,0,0,0,0
7/1/2026 9:06:39 AM,N,O,53774,13645,302.7,320,0,0,0,0,0
7/1/2026 9:06:41 AM,N,O,53534,13885,302.7,320,0,0,0,0,0
7/1/2026 9:06:42 AM,N,O,53569,13885,302.7,320,0,0,0,0,0
7/1/2026 9:06:43 AM,N,O,53556,13885,302.7,320,0,0,0,0,0
7/1/2026 9:06:45 AM,N,O,53506,13885,302.7,320,0,0,0,0,0
7/1/2026 9:06:46 AM,N,O,53505,13885,302.7,320,0,0,0,0,0
