Time,Exchange,ImbType,imbalance_quantity,paired_quantity,reference_price,far_price,near_price,price_variation_indicator,Bid,Ask
7/30/2026 9:29:33 AM,Q,O,96690,2577037,438.33,440,440,L,0,0
7/30/2026 9:29:34 AM,Q,O,91113,2582614,438.31,440,440,L,0,0
7/30/2026 9:29:35 AM,Q,O,90722,2583005,438.34,440,440,L,0,0
7/30/2026 9:29:36 AM,Q,O,130080,2543706,437.85,440,440,L,0,0
7/30/2026 9:29:37 AM,Q,O,131380,2542406,437.78,440,440,L,0,0
7/30/2026 9:29:38 AM,Q,O,87150,2586577,438.25,440,440,L,0,0
7/30/2026 9:29:39 AM,Q,O,86256,2587471,438.24,440,440,L,0,0
7/30/2026 9:29:40 AM,Q,O,69393,2604210,438.98,440,440,L,0,0
7/30/2026 9:29:41 AM,Q,O,47398,2626205,439.16,440,440,L,0,0
7/30/2026 9:29:42 AM,Q,O,65567,2608099,438.71,440,440,L,0,0
7/30/2026 9:29:43 AM,Q,O,76048,2597679,438.26,440,440,L,0,0
7/30/2026 9:29:44 AM,Q,O,76024,2597703,438.24,440,440,L,0,0
7/30/2026 9:29:45 AM,Q,O,74682,2599045,438.32,440,440,L,0,0
7/30/2026 9:29:46 AM,Q,O,72348,2601379,438.4,440,440,L,0,0
7/30/2026 9:29:47 AM,Q,O,68155,2605511,438.45,440,440,L,0,0
7/30/2026 9:29:48 AM,Q,O,70452,2603275,438.24,440,439.98,L,0,0
7/30/2026 9:29:49 AM,Q,O,58646,2615020,438.6,440,439.98,L,0,0
7/30/2026 9:29:50 AM,Q,O,53474,2620192,438.73,440,439.89,L,0,0
7/30/2026 9:29:51 AM,Q,O,52329,2621398,438.23,439.53,439.53,L,0,0
7/30/2026 9:29:52 AM,Q,O,38873,2634793,438.68,439.53,439.53,L,0,0
7/30/2026 9:29:53 AM,Q,O,35442,2638224,438.66,439.53,439.53,L,0,0
7/30/2026 9:29:54 AM,Q,O,46058,2627669,438.36,439.53,439.53,L,0,0
7/30/2026 9:29:55 AM,Q,O,45641,2628086,438.03,439.53,439.53,L,0,0
7/30/2026 9:29:56 AM,Q,O,5226,2668377,439.02,439.5,439.43,L,0,0
7/30/2026 9:29:57 AM,Q,O,3855,2669748,439.08,439.44,439.17,L,0,0
7/30/2026 9:29:58 AM,Q,O,2480,2671123,439.09,439.29,439.15,L,0,0
7/30/2026 9:29:59 AM,Q,O,18358,2655308,438.83,439.11,439.1,L,0,0
7/30/2026 9:30:00 AM,Q,O,9513,2664153,438.61,439,438.7,L,0,0
